K	N
0	0
1	0
2	0
3	1
4	9
5	14
6	10
7	15
8	13
9	11
10	13
11	14
12	17
13	15
14	11
15	17
16	29
17	12
18	15
19	20
20	18
21	18
22	15
23	26
24	21
25	24
26	17
27	25
28	20
29	29
30	17
31	13
32	26
33	26
34	25
35	24
36	23
37	34
38	29
39	25
40	33
41	27
42	32
43	32
44	32
45	41
46	36
47	35
48	31
49	28
50	48
51	42
52	50
53	56
54	86
55	90
56	94
57	92
58	87
59	64
60	64
61	74
62	53
63	79
64	62
65	61
66	68
67	47
68	32
69	46
70	32
71	41
72	46
73	30
74	40
75	29
76	37
77	25
78	32
79	39
80	30
81	31
82	30
83	42
84	28
85	49
86	41
87	30
88	42
89	33
90	30
91	41
92	34
93	41
94	32
95	31
96	26
97	39
98	28
99	30
100	30
101	25
102	37
103	35
104	31
105	23
106	20
107	22
108	29
109	32
110	26
111	37
112	33
113	25
114	37
115	26
116	33
117	28
118	30
119	21
120	37
121	36
122	32
123	31
124	31
125	35
126	30
127	21
128	30
129	25
130	20
131	19
132	19
133	28
134	37
135	29
136	24
137	30
138	27
139	23
140	20
141	18
142	21
143	20
144	21
145	33
146	28
147	29
148	25
149	21
150	26
151	20
152	23
153	29
154	24
155	27
156	21
157	18
158	20
159	21
160	17
161	18
162	31
163	27
164	12
165	29
166	18
167	18
168	25
169	20
170	23
171	22
172	24
173	17
174	15
175	24
176	25
177	14
178	17
179	23
180	20
181	27
182	21
183	24
184	24
185	17
186	22
187	23
188	21
189	19
190	23
191	29
192	21
193	16
194	19
195	19
196	22
197	25
198	25
199	20
200	22
201	24
202	22
203	23
204	23
205	16
206	27
207	18
208	10
209	14
210	16
211	20
212	11
213	12
214	24
215	15
216	24
217	14
218	13
219	22
220	12
221	10
222	7
223	7
224	24
225	19
226	20
227	15
228	11
229	11
230	12
231	14
232	16
233	15
234	10
235	11
236	19
237	12
238	10
239	13
240	7
241	16
242	15
243	14
244	9
245	14
246	14
247	11
248	10
249	14
250	6
251	13
252	10
253	13
254	15
255	14
256	13
257	14
258	9
259	11
260	13
261	8
262	12
263	13
264	8
265	8
266	10
267	11
268	8
269	10
270	11
271	8
272	6
273	4
274	12
275	16
276	6
277	12
278	10
279	12
280	13
281	8
282	6
283	6
284	13
285	10
286	8
287	7
288	10
289	8
290	12
291	10
292	7
293	12
294	5
295	12
296	6
297	9
298	8
299	7
300	16
301	13
302	10
303	8
304	14
305	11
306	11
307	8
308	9
309	10
310	8
311	11
312	8
313	6
314	14
315	9
316	5
317	8
318	9
319	7
320	8
321	7
322	8
323	12
324	5
325	3
326	6
327	10
328	9
329	6
330	5
331	7
332	10
333	11
334	7
335	7
336	8
337	13
338	7
339	9
340	3
341	8
342	10
343	8
344	7
345	10
346	9
347	6
348	5
349	5
350	4
351	2
352	8
353	12
354	7
355	8
356	3
357	7
358	5
359	4
360	4
361	5
362	2
363	7
364	9
365	7
366	5
367	6
368	9
369	6
370	7
371	8
372	5
373	5
374	6
375	5
376	5
377	8
378	6
379	10
380	7
381	10
382	2
383	10
384	8
385	6
386	4
387	8
388	5
389	2
390	9
391	5
392	7
393	10
394	9
395	7
396	7
397	4
398	6
399	9
400	9
401	1
402	6
403	9
404	7
405	6
406	7
407	7
408	12
409	10
410	4
411	6
412	6
413	6
414	9
415	9
416	9
417	11
418	6
419	13
420	15
421	15
422	12
423	16
424	8
425	16
426	8
427	8
428	10
429	12
430	8
431	8
432	10
433	11
434	9
435	6
436	14
437	8
438	9
439	4
440	4
441	2
442	3
443	6
444	5
445	1
446	6
447	7
448	4
449	6
450	3
451	4
452	4
453	3
454	2
455	6
456	3
457	2
458	4
459	2
460	1
461	7
462	5
463	2
464	5
465	3
466	4
467	4
468	3
469	4
470	3
471	2
472	1
473	5
474	5
475	7
476	3
477	3
478	9
479	5
480	2
481	2
482	1
483	3
484	3
485	5
486	3
487	3
488	1
489	4
490	5
491	3
492	4
493	2
494	4
495	3
496	5
497	1
498	5
499	2
500	3
501	2
502	5
503	1
504	3
505	1
506	0
507	5
508	4
509	4
510	4
511	73
