K	N
0	0
1	0
2	0
3	0
4	11
5	4
6	12
7	5
8	21
9	11
10	7
11	15
12	14
13	18
14	17
15	14
16	23
17	17
18	15
19	15
20	21
21	20
22	17
23	23
24	28
25	24
26	19
27	23
28	27
29	27
30	28
31	17
32	23
33	22
34	24
35	28
36	27
37	29
38	32
39	19
40	23
41	31
42	24
43	28
44	28
45	33
46	34
47	35
48	29
49	36
50	33
51	37
52	45
53	59
54	53
55	62
56	86
57	101
58	92
59	63
60	61
61	70
62	41
63	62
64	65
65	51
66	40
67	58
68	47
69	37
70	52
71	30
72	35
73	41
74	38
75	23
76	38
77	36
78	33
79	25
80	45
81	37
82	25
83	28
84	38
85	39
86	21
87	23
88	38
89	30
90	39
91	28
92	36
93	27
94	38
95	26
96	30
97	33
98	33
99	27
100	25
101	28
102	29
103	26
104	26
105	25
106	24
107	35
108	22
109	26
110	33
111	28
112	18
113	35
114	26
115	23
116	35
117	26
118	36
119	26
120	36
121	24
122	33
123	34
124	19
125	35
126	28
127	32
128	34
129	27
130	35
131	33
132	27
133	24
134	26
135	32
136	38
137	26
138	41
139	40
140	32
141	34
142	23
143	33
144	28
145	23
146	40
147	32
148	30
149	38
150	22
151	25
152	37
153	37
154	30
155	41
156	31
157	38
158	34
159	28
160	38
161	29
162	29
163	34
164	33
165	34
166	25
167	21
168	25
169	26
170	19
171	20
172	20
173	35
174	24
175	25
176	12
177	26
178	23
179	27
180	19
181	30
182	15
183	20
184	25
185	20
186	20
187	17
188	15
189	20
190	18
191	15
192	15
193	16
194	17
195	14
196	18
197	11
198	11
199	18
200	12
201	14
202	13
203	12
204	9
205	14
206	17
207	13
208	10
209	16
210	8
211	9
212	15
213	22
214	14
215	10
216	13
217	16
218	16
219	17
220	5
221	9
222	13
223	18
224	13
225	14
226	4
227	5
228	7
229	16
230	14
231	8
232	14
233	8
234	16
235	10
236	16
237	9
238	10
239	16
240	8
241	15
242	7
243	20
244	8
245	19
246	8
247	16
248	11
249	12
250	14
251	12
252	11
253	8
254	6
255	11
256	10
257	12
258	6
259	7
260	13
261	7
262	8
263	9
264	10
265	14
266	12
267	13
268	10
269	9
270	11
271	9
272	6
273	13
274	8
275	5
276	14
277	9
278	21
279	9
280	14
281	12
282	8
283	8
284	6
285	9
286	10
287	10
288	16
289	7
290	9
291	15
292	11
293	15
294	9
295	12
296	11
297	13
298	9
299	9
300	14
301	14
302	8
303	13
304	7
305	8
306	10
307	10
308	7
309	7
310	9
311	10
312	12
313	8
314	5
315	4
316	10
317	12
318	9
319	11
320	13
321	11
322	9
323	2
324	9
325	8
326	9
327	7
328	10
329	12
330	12
331	14
332	15
333	6
334	9
335	15
336	8
337	10
338	4
339	9
340	7
341	12
342	7
343	12
344	6
345	8
346	7
347	6
348	4
349	9
350	6
351	8
352	4
353	9
354	7
355	7
356	9
357	10
358	9
359	5
360	8
361	8
362	13
363	10
364	8
365	8
366	7
367	3
368	7
369	11
370	8
371	8
372	8
373	6
374	5
375	5
376	12
377	6
378	7
379	9
380	12
381	6
382	2
383	8
384	8
385	10
386	8
387	11
388	8
389	9
390	6
391	8
392	7
393	9
394	10
395	7
396	8
397	12
398	5
399	5
400	8
401	16
402	14
403	9
404	8
405	19
406	7
407	13
408	12
409	11
410	8
411	11
412	16
413	10
414	19
415	15
416	15
417	24
418	11
419	13
420	17
421	18
422	20
423	22
424	19
425	23
426	24
427	20
428	18
429	21
430	24
431	16
432	14
433	16
434	18
435	14
436	16
437	14
438	8
439	15
440	15
441	6
442	6
443	10
444	8
445	4
446	3
447	3
448	3
449	3
450	7
451	3
452	7
453	3
454	3
455	5
456	4
457	4
458	1
459	4
460	6
461	3
462	2
463	3
464	3
465	4
466	7
467	3
468	3
469	3
470	2
471	2
472	1
473	3
474	1
475	2
476	3
477	0
478	4
479	3
480	2
481	5
482	3
483	4
484	3
485	2
486	2
487	1
488	3
489	3
490	3
491	1
492	1
493	2
494	1
495	2
496	0
497	5
498	1
499	3
500	3
501	1
502	1
503	2
504	5
505	2
506	8
507	6
508	2
509	5
510	1
511	65
